task,year,month,progress,status,comment
3.04D Check-Do-Check [Digital],2026,2,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,3,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,4,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,5,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,6,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,7,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,8,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,9,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,10,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,11,0,NotStarted,"No Data"	
3.04D Check-Do-Check [Digital],2026,12,0,NotStarted,"No Data"	
3.06 D Management of non-conformance [Digital],2026,1,0,NotStarted,"No Data"	
3.06 D Management of non-conformance [Digital],2026,2,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,3,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,4,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,5,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,6,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,7,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,8,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,9,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,10,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,11,0,NotStarted,"No Data"
3.06 D Management of non-conformance [Digital],2026,12,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,1,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,2,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,3,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,4,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,5,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,6,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,7,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,8,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,9,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,10,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,11,0,NotStarted,"No Data"
3.07D Rework under control [Digital],2026,12,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,1,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,2,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,3,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,4,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,5,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,6,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,7,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,8,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,9,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,10,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,11,0,NotStarted,"No Data"
4.01D  Production Monitoring [Digital],2026,12,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,1,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,2,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,3,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,4,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,5,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,6,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,7,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,8,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,9,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,10,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,11,0,NotStarted,"No Data"
4.02D TPM (EC) - Production [Digital],2026,12,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,1,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,2,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,3,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,4,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,5,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,6,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,7,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,8,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,9,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,10,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,11,0,NotStarted,"No Data"
5.07D Kata QRCI [Digital],2026,12,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,1,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,2,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,3,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,4,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,5,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,6,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,7,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,8,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,9,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,10,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,11,0,NotStarted,"No Data"
1.02D Risk Preventive Mitigation,2026,12,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,1,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,2,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,3,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,4,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,5,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,6,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,7,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,8,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,9,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,10,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,11,0,NotStarted,"No Data"
1.17D S&OP/MPS [Digital],2026,12,0,NotStarted,"No Data"
2.04 Prepare truck in advance (Digital),2026,1,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,2,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,3,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,4,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,5,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,6,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,7,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,8,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,9,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,10,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,11,0,NotStarted,"No Data"	
2.04 Prepare truck in advance (Digital),2026,12,0,NotStarted,"No Data"	
2.09D Inventory control [Digital],2026,1,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,2,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,3,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,4,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,5,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,6,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,7,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,8,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,9,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,10,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,11,0,NotStarted,"No Data"
2.09D Inventory control [Digital],2026,12,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,1,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,2,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,3,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,4,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,5,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,6,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,7,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,8,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,9,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,10,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,11,0,NotStarted,"No Data"
2.10D Reliable Receiving [Digital],2026,12,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,1,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,2,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,3,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,4,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,5,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,6,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,7,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,8,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,9,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,10,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,11,0,NotStarted,"No Data"
2.12D Manage flows in plant [Digital],2026,12,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,1,0,NotStarted,"No Data"	
5.02D Management Control [Digital],2026,2,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,3,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,4,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,5,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,6,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,7,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,8,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,9,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,10,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,11,0,NotStarted,"No Data"
5.02D Management Control [Digital],2026,12,0,NotStarted,"No Data"
